run,model,filt,frequency,calib,city,exp,sensor_type,state_var,meas_var,N,case,R,P,Q,id,config,it,comment,mae,ref,comment2
0,tomgro,enkf,1,gnvIV,cps,5,A,wm,wm,250,case3,,1.00E-05,0.65,540,1,40,"fixed errors, case controlled, 10%",,p3a,extra
0,tomgro,pf,1,gnvIV,cps,5,A,wm,wm,500,case1,,1.00E-05,0.65,541,1,41,"fixed errors, case controlled, 10%",,p3a,no
0,tomgro,ukf,1,gnvIV,cps,7,A,wm,wm,,case1,,1.00E-05,0.65,542,1,42,"fixed errors, case controlled, 10%",,p3a,used
0,tomgro,enkf,1,gnvIV,cps,7,A,wm,wm,250,case0,,1.00E-05,0.65,543,1,43,"fixed errors, case controlled, 10%",,p3a,extra
0,tomgro,enkf,1,gnvIV,cps,7,A,wm,wm,250,case1,,1.00E-05,0.65,544,1,44,"fixed errors, case controlled, 10%",,p3a,extra
0,tomgro,enkf,1,gnvIV,cps,7,A,wm,wm,250,case2,,1.00E-05,0.65,545,1,45,"fixed errors, case controlled, 10%",,p3a,used
0,tomgro,enkf,1,gnvIV,cps,7,A,wm,wm,250,case3,,1.00E-05,0.65,546,1,46,"fixed errors, case controlled, 10%",,p3a,extra
0,tomgro,pf,1,gnvIV,cps,7,A,wm,wm,500,case1,,1.00E-05,0.65,547,1,47,"fixed errors, case controlled, 10%",,p3a,no
0,tomgro,ukf,1,gnvIV,cps,1,A,wf,wf,,case1,,1.00E-05,0.81,548,2,0,"fixed errors, case controlled, 30%",,p3a,no
0,tomgro,enkf,1,gnvIV,cps,1,A,wf,wf,250,case0,,1.00E-05,0.81,549,2,1,"fixed errors, case controlled, 30%",,p3a,no
0,tomgro,enkf,1,gnvIV,cps,1,A,wf,wf,250,case1,,1.00E-05,0.81,550,2,2,"fixed errors, case controlled, 30%",,p3a,no
0,tomgro,enkf,1,gnvIV,cps,1,A,wf,wf,250,case2,,1.00E-05,0.81,551,2,3,"fixed errors, case controlled, 30%",,p3a,no
0,tomgro,enkf,1,gnvIV,cps,1,A,wf,wf,250,case3,,1.00E-05,0.81,552,2,4,"fixed errors, case controlled, 30%",,p3a,no
0,tomgro,pf,1,gnvIV,cps,1,A,wf,wf,500,case1,,1.00E-05,0.81,553,2,5,"fixed errors, case controlled, 30%",,p3a,no
0,tomgro,ukf,1,gnvIV,cps,3,A,wf,wf,,case1,,1.00E-05,0.81,554,2,6,"fixed errors, case controlled, 30%",,p3a,used
0,tomgro,enkf,1,gnvIV,cps,3,A,wf,wf,250,case0,,1.00E-05,0.81,555,2,7,"fixed errors, case controlled, 30%",,p3a,extra
0,tomgro,enkf,1,gnvIV,cps,3,A,wf,wf,250,case1,,1.00E-05,0.81,556,2,8,"fixed errors, case controlled, 30%",,p3a,extra
0,tomgro,enkf,1,gnvIV,cps,3,A,wf,wf,250,case2,,1.00E-05,0.81,557,2,9,"fixed errors, case controlled, 30%",,p3a,used
0,tomgro,enkf,1,gnvIV,cps,3,A,wf,wf,250,case3,,1.00E-05,0.81,558,2,10,"fixed errors, case controlled, 30%",,p3a,extra
0,tomgro,pf,1,gnvIV,cps,3,A,wf,wf,500,case1,,1.00E-05,0.81,559,2,11,"fixed errors, case controlled, 30%",,p3a,no
0,tomgro,ukf,1,gnvIV,cps,5,A,wf,wf,,case1,,1.00E-05,0.81,560,2,12,"fixed errors, case controlled, 30%",,p3a,used
0,tomgro,enkf,1,gnvIV,cps,5,A,wf,wf,250,case0,,1.00E-05,0.81,561,2,13,"fixed errors, case controlled, 30%",,p3a,extra
0,tomgro,enkf,1,gnvIV,cps,5,A,wf,wf,250,case1,,1.00E-05,0.81,562,2,14,"fixed errors, case controlled, 30%",,p3a,extra
0,tomgro,enkf,1,gnvIV,cps,5,A,wf,wf,250,case2,,1.00E-05,0.81,563,2,15,"fixed errors, case controlled, 30%",,p3a,used
0,tomgro,enkf,1,gnvIV,cps,5,A,wf,wf,250,case3,,1.00E-05,0.81,564,2,16,"fixed errors, case controlled, 30%",,p3a,extra
0,tomgro,pf,1,gnvIV,cps,5,A,wf,wf,500,case1,,1.00E-05,0.81,565,2,17,"fixed errors, case controlled, 30%",,p3a,no
0,tomgro,ukf,1,gnvIV,cps,7,A,wf,wf,,case1,,1.00E-05,0.81,566,2,18,"fixed errors, case controlled, 30%",,p3a,used
0,tomgro,enkf,1,gnvIV,cps,7,A,wf,wf,250,case0,,1.00E-05,0.81,567,2,19,"fixed errors, case controlled, 30%",,p3a,extra
0,tomgro,enkf,1,gnvIV,cps,7,A,wf,wf,250,case1,,1.00E-05,0.81,568,2,20,"fixed errors, case controlled, 30%",,p3a,extra
0,tomgro,enkf,1,gnvIV,cps,7,A,wf,wf,250,case2,,1.00E-05,0.81,569,2,21,"fixed errors, case controlled, 30%",,p3a,used
0,tomgro,enkf,1,gnvIV,cps,7,A,wf,wf,250,case3,,1.00E-05,0.81,570,2,22,"fixed errors, case controlled, 30%",,p3a,extra
0,tomgro,pf,1,gnvIV,cps,7,A,wf,wf,500,case1,,1.00E-05,0.81,571,2,23,"fixed errors, case controlled, 30%",,p3a,no
0,tomgro,ukf,1,gnvIV,cps,1,A,wm,wm,,case1,,1.00E-05,0.65,572,2,24,"fixed errors, case controlled, 30%",,p3a,no
0,tomgro,enkf,1,gnvIV,cps,1,A,wm,wm,250,case0,,1.00E-05,0.65,573,2,25,"fixed errors, case controlled, 30%",,p3a,no
0,tomgro,enkf,1,gnvIV,cps,1,A,wm,wm,250,case1,,1.00E-05,0.65,574,2,26,"fixed errors, case controlled, 30%",,p3a,no
0,tomgro,enkf,1,gnvIV,cps,1,A,wm,wm,250,case2,,1.00E-05,0.65,575,2,27,"fixed errors, case controlled, 30%",,p3a,no
0,tomgro,enkf,1,gnvIV,cps,1,A,wm,wm,250,case3,,1.00E-05,0.65,576,2,28,"fixed errors, case controlled, 30%",,p3a,no
0,tomgro,pf,1,gnvIV,cps,1,A,wm,wm,500,case1,,1.00E-05,0.65,577,2,29,"fixed errors, case controlled, 30%",,p3a,no
0,tomgro,ukf,1,gnvIV,cps,3,A,wm,wm,,case1,,1.00E-05,0.65,578,2,30,"fixed errors, case controlled, 30%",,p3a,used
0,tomgro,enkf,1,gnvIV,cps,3,A,wm,wm,250,case0,,1.00E-05,0.65,579,2,31,"fixed errors, case controlled, 30%",,p3a,extra
0,tomgro,enkf,1,gnvIV,cps,3,A,wm,wm,250,case1,,1.00E-05,0.65,580,2,32,"fixed errors, case controlled, 30%",,p3a,extra
0,tomgro,enkf,1,gnvIV,cps,3,A,wm,wm,250,case2,,1.00E-05,0.65,581,2,33,"fixed errors, case controlled, 30%",,p3a,used
0,tomgro,enkf,1,gnvIV,cps,3,A,wm,wm,250,case3,,1.00E-05,0.65,582,2,34,"fixed errors, case controlled, 30%",,p3a,extra
0,tomgro,pf,1,gnvIV,cps,3,A,wm,wm,500,case1,,1.00E-05,0.65,583,2,35,"fixed errors, case controlled, 30%",,p3a,no
0,tomgro,ukf,1,gnvIV,cps,5,A,wm,wm,,case1,,1.00E-05,0.65,584,2,36,"fixed errors, case controlled, 30%",,p3a,used
0,tomgro,enkf,1,gnvIV,cps,5,A,wm,wm,250,case0,,1.00E-05,0.65,585,2,37,"fixed errors, case controlled, 30%",,p3a,extra
0,tomgro,enkf,1,gnvIV,cps,5,A,wm,wm,250,case1,,1.00E-05,0.65,586,2,38,"fixed errors, case controlled, 30%",,p3a,extra
0,tomgro,enkf,1,gnvIV,cps,5,A,wm,wm,250,case2,,1.00E-05,0.65,587,2,39,"fixed errors, case controlled, 30%",,p3a,used
0,tomgro,enkf,1,gnvIV,cps,5,A,wm,wm,250,case3,,1.00E-05,0.65,588,2,40,"fixed errors, case controlled, 30%",,p3a,extra
0,tomgro,pf,1,gnvIV,cps,5,A,wm,wm,500,case1,,1.00E-05,0.65,589,2,41,"fixed errors, case controlled, 30%",,p3a,no
0,tomgro,ukf,1,gnvIV,cps,7,A,wm,wm,,case1,,1.00E-05,0.65,590,2,42,"fixed errors, case controlled, 30%",,p3a,used
0,tomgro,enkf,1,gnvIV,cps,7,A,wm,wm,250,case0,,1.00E-05,0.65,591,2,43,"fixed errors, case controlled, 30%",,p3a,extra
0,tomgro,enkf,1,gnvIV,cps,7,A,wm,wm,250,case1,,1.00E-05,0.65,592,2,44,"fixed errors, case controlled, 30%",,p3a,extra
0,tomgro,enkf,1,gnvIV,cps,7,A,wm,wm,250,case2,,1.00E-05,0.65,593,2,45,"fixed errors, case controlled, 30%",,p3a,used
0,tomgro,enkf,1,gnvIV,cps,7,A,wm,wm,250,case3,,1.00E-05,0.65,594,2,46,"fixed errors, case controlled, 30%",,p3a,extra
0,tomgro,pf,1,gnvIV,cps,7,A,wm,wm,500,case1,,1.00E-05,0.65,595,2,47,"fixed errors, case controlled, 30%",,p3a,no
0,tomgro,ukf,1,gnvIV,cps,1,A,wf,wf,,case1,,1.00E-05,0.81,596,3,0,"fixed errors, case controlled, 50%",,p3a,no
0,tomgro,enkf,1,gnvIV,cps,1,A,wf,wf,250,case0,,1.00E-05,0.81,597,3,1,"fixed errors, case controlled, 50%",,p3a,no
0,tomgro,enkf,1,gnvIV,cps,1,A,wf,wf,250,case1,,1.00E-05,0.81,598,3,2,"fixed errors, case controlled, 50%",,p3a,no
0,tomgro,enkf,1,gnvIV,cps,1,A,wf,wf,250,case2,,1.00E-05,0.81,599,3,3,"fixed errors, case controlled, 50%",,p3a,no
0,tomgro,enkf,1,gnvIV,cps,1,A,wf,wf,250,case3,,1.00E-05,0.81,600,3,4,"fixed errors, case controlled, 50%",,p3a,no
0,tomgro,pf,1,gnvIV,cps,1,A,wf,wf,500,case1,,1.00E-05,0.81,601,3,5,"fixed errors, case controlled, 50%",,p3a,no
0,tomgro,ukf,1,gnvIV,cps,3,A,wf,wf,,case1,,1.00E-05,0.81,602,3,6,"fixed errors, case controlled, 50%",,p3a,used
0,tomgro,enkf,1,gnvIV,cps,3,A,wf,wf,250,case0,,1.00E-05,0.81,603,3,7,"fixed errors, case controlled, 50%",,p3a,extra
0,tomgro,enkf,1,gnvIV,cps,3,A,wf,wf,250,case1,,1.00E-05,0.81,604,3,8,"fixed errors, case controlled, 50%",,p3a,extra
0,tomgro,enkf,1,gnvIV,cps,3,A,wf,wf,250,case2,,1.00E-05,0.81,605,3,9,"fixed errors, case controlled, 50%",,p3a,used
0,tomgro,enkf,1,gnvIV,cps,3,A,wf,wf,250,case3,,1.00E-05,0.81,606,3,10,"fixed errors, case controlled, 50%",,p3a,extra
0,tomgro,pf,1,gnvIV,cps,3,A,wf,wf,500,case1,,1.00E-05,0.81,607,3,11,"fixed errors, case controlled, 50%",,p3a,no
0,tomgro,ukf,1,gnvIV,cps,5,A,wf,wf,,case1,,1.00E-05,0.81,608,3,12,"fixed errors, case controlled, 50%",,p3a,used
0,tomgro,enkf,1,gnvIV,cps,5,A,wf,wf,250,case0,,1.00E-05,0.81,609,3,13,"fixed errors, case controlled, 50%",,p3a,extra
0,tomgro,enkf,1,gnvIV,cps,5,A,wf,wf,250,case1,,1.00E-05,0.81,610,3,14,"fixed errors, case controlled, 50%",,p3a,extra
0,tomgro,enkf,1,gnvIV,cps,5,A,wf,wf,250,case2,,1.00E-05,0.81,611,3,15,"fixed errors, case controlled, 50%",,p3a,used
0,tomgro,enkf,1,gnvIV,cps,5,A,wf,wf,250,case3,,1.00E-05,0.81,612,3,16,"fixed errors, case controlled, 50%",,p3a,extra
0,tomgro,pf,1,gnvIV,cps,5,A,wf,wf,500,case1,,1.00E-05,0.81,613,3,17,"fixed errors, case controlled, 50%",,p3a,no
0,tomgro,ukf,1,gnvIV,cps,7,A,wf,wf,,case1,,1.00E-05,0.81,614,3,18,"fixed errors, case controlled, 50%",,p3a,used
0,tomgro,enkf,1,gnvIV,cps,7,A,wf,wf,250,case0,,1.00E-05,0.81,615,3,19,"fixed errors, case controlled, 50%",,p3a,extra
0,tomgro,enkf,1,gnvIV,cps,7,A,wf,wf,250,case1,,1.00E-05,0.81,616,3,20,"fixed errors, case controlled, 50%",,p3a,extra
0,tomgro,enkf,1,gnvIV,cps,7,A,wf,wf,250,case2,,1.00E-05,0.81,617,3,21,"fixed errors, case controlled, 50%",,p3a,used
0,tomgro,enkf,1,gnvIV,cps,7,A,wf,wf,250,case3,,1.00E-05,0.81,618,3,22,"fixed errors, case controlled, 50%",,p3a,extra
0,tomgro,pf,1,gnvIV,cps,7,A,wf,wf,500,case1,,1.00E-05,0.81,619,3,23,"fixed errors, case controlled, 50%",,p3a,no
0,tomgro,ukf,1,gnvIV,cps,1,A,wm,wm,,case1,,1.00E-05,0.65,620,3,24,"fixed errors, case controlled, 50%",,p3a,no
0,tomgro,enkf,1,gnvIV,cps,1,A,wm,wm,250,case0,,1.00E-05,0.65,621,3,25,"fixed errors, case controlled, 50%",,p3a,no
0,tomgro,enkf,1,gnvIV,cps,1,A,wm,wm,250,case1,,1.00E-05,0.65,622,3,26,"fixed errors, case controlled, 50%",,p3a,no
0,tomgro,enkf,1,gnvIV,cps,1,A,wm,wm,250,case2,,1.00E-05,0.65,623,3,27,"fixed errors, case controlled, 50%",,p3a,no
0,tomgro,enkf,1,gnvIV,cps,1,A,wm,wm,250,case3,,1.00E-05,0.65,624,3,28,"fixed errors, case controlled, 50%",,p3a,no
