run,model,filt,frequency,calib,city,exp,sensor_type,state_var,meas_var,N,case,R,P,Q,id,config,it,comment,mae
0,tomgro,enkf,1,gnvMod,cps,6,A,lai,lai_lat,100,case2,,0.000001,0.96,44,3,1,0.613439194,0.96
0,tomgro,ukf,1,gnvMod,cps,5,A,lai,lai_lat,NA,case1,,0.000001,0.96,45,3,1,0.613439194,0.96
0,tomgro,ukf,1,gnvMod,cps,6,A,lai,lai_lat,NA,case1,,0.000001,0.96,46,3,1,0.613439194,0.96
0,tomgro,pf,1,gnvMod,cps,5,A,lai,lai_lat,50000,case1,,0.000001,0.96,47,3,1,0.613439194,0.96
0,tomgro,pf,1,gnvMod,cps,6,A,lai,lai_lat,50000,case1,,0.000001,0.96,48,3,1,0.613439194,0.96
0,tomgro,enkf,1,gnvMod,cps,7,A,lai,lai_lat,100,case2,,0.000001,1.3,49,3,1,0.43563716,1.3
0,tomgro,enkf,1,gnvMod,cps,8,A,lai,lai_lat,100,case2,,0.000001,1.3,50,3,1,0.43563716,1.3
0,tomgro,ukf,1,gnvMod,cps,7,A,lai,lai_lat,NA,case1,,0.000001,1.3,51,3,1,0.43563716,1.3
0,tomgro,ukf,1,gnvMod,cps,8,A,lai,lai_lat,NA,case1,,0.000001,1.3,52,3,1,0.43563716,1.3
0,tomgro,pf,1,gnvMod,cps,7,A,lai,lai_lat,50000,case1,,0.000001,1.3,53,3,1,0.43563716,1.3
0,tomgro,pf,1,gnvMod,cps,8,A,lai,lai_lat,50000,case1,,0.000001,1.3,54,3,1,0.43563716,1.3
0,tomgro,enkf,1,gnvMod,cps,3,A,lai,lai_abv,100,case2,,0.000001,0.15,55,4,0,0.988148935,0.15
0,tomgro,enkf,1,gnvMod,cps,4,A,lai,lai_abv,100,case2,,0.000001,0.15,56,4,1,0.988148935,0.15
0,tomgro,ukf,1,gnvMod,cps,3,A,lai,lai_abv,NA,case1,,0.000001,0.15,57,4,1,0.988148935,0.15
0,tomgro,ukf,1,gnvMod,cps,4,A,lai,lai_abv,NA,case1,,0.000001,0.15,58,4,1,0.988148935,0.15
0,tomgro,pf,1,gnvMod,cps,3,A,lai,lai_abv,50000,case1,,0.000001,0.15,59,4,1,0.988148935,0.15
0,tomgro,pf,1,gnvMod,cps,4,A,lai,lai_abv,50000,case1,,0.000001,0.15,60,4,1,0.988148935,0.15
0,tomgro,enkf,1,gnvMod,cps,5,A,lai,lai_abv,100,case2,,0.000001,0.96,61,4,1,0.596529036,0.96
0,tomgro,enkf,1,gnvMod,cps,6,A,lai,lai_abv,100,case2,,0.000001,0.96,62,4,1,0.596529036,0.96
0,tomgro,ukf,1,gnvMod,cps,5,A,lai,lai_abv,NA,case1,,0.000001,0.96,63,4,1,0.596529036,0.96
0,tomgro,ukf,1,gnvMod,cps,6,A,lai,lai_abv,NA,case1,,0.000001,0.96,64,4,1,0.596529036,0.96
0,tomgro,pf,1,gnvMod,cps,5,A,lai,lai_abv,50000,case1,,0.000001,0.96,65,4,1,0.596529036,0.96
0,tomgro,pf,1,gnvMod,cps,6,A,lai,lai_abv,50000,case1,,0.000001,0.96,66,4,1,0.596529036,0.96
0,tomgro,enkf,1,gnvMod,cps,7,A,lai,lai_abv,100,case2,,0.000001,1.3,67,4,1,0.920890167,1.3
0,tomgro,enkf,1,gnvMod,cps,8,A,lai,lai_abv,100,case2,,0.000001,1.3,68,4,1,0.920890167,1.3
0,tomgro,ukf,1,gnvMod,cps,7,A,lai,lai_abv,NA,case1,,0.000001,1.3,69,4,1,0.920890167,1.3
0,tomgro,ukf,1,gnvMod,cps,8,A,lai,lai_abv,NA,case1,,0.000001,1.3,70,4,1,0.920890167,1.3
0,tomgro,pf,1,gnvMod,cps,7,A,lai,lai_abv,50000,case1,,0.000001,1.3,71,4,1,0.920890167,1.3
0,tomgro,pf,1,gnvMod,cps,8,A,lai,lai_abv,50000,case1,,0.000001,1.3,72,4,1,0.920890167,1.3
1,tomgro,ukf,0.5,gnvMod,cps,3,A,wf,wf_lat,NA,case1,,0.000001,11,73,5,0,0.062191155,11
1,tomgro,ukf,0.5,gnvMod,cps,4,A,wf,wf_lat,NA,case1,,0.000001,11,74,5,1,0.062191155,11
1,tomgro,ukf,0.5,gnvMod,cps,5,A,wf,wf_lat,NA,case1,,0.000001,24,75,5,1,0.083996048,24
1,tomgro,ukf,0.5,gnvMod,cps,6,A,wf,wf_lat,NA,case1,,0.000001,24,76,5,1,0.083996048,24
1,tomgro,ukf,0.5,gnvMod,cps,7,A,wf,wf_lat,NA,case1,,0.000001,62,77,5,1,0.251752311,62
1,tomgro,ukf,0.5,gnvMod,cps,8,A,wf,wf_lat,NA,case1,,0.000001,62,78,5,1,0.251752311,62
1,tomgro,ukf,0.5,gnvMod,cps,3,A,w,w_fm_full,NA,case1,,0.000001,20,79,6,0,0.395089642,20
1,tomgro,ukf,0.5,gnvMod,cps,4,A,w,w_fm_full,NA,case1,,0.000001,20,80,6,1,0.395089642,20
1,tomgro,ukf,0.5,gnvMod,cps,5,A,w,w_fm_full,NA,case1,,0.000001,122,81,6,1,0.338876269,122
1,tomgro,ukf,0.5,gnvMod,cps,6,A,w,w_fm_full,NA,case1,,0.000001,122,82,6,1,0.338876269,122
1,tomgro,ukf,0.5,gnvMod,cps,7,A,w,w_fm_full,NA,case1,,0.000001,200,83,6,1,0.257467361,200
1,tomgro,ukf,0.5,gnvMod,cps,8,A,w,w_fm_full,NA,case1,,0.000001,200,84,6,1,0.257467361,200
1,tomgro,ukf,0.5,gnvMod,cps,3,A,lai,lai_lat,NA,case1,,0.000001,0.15,85,7,0,0.310830095,0.15
1,tomgro,ukf,0.5,gnvMod,cps,4,A,lai,lai_lat,NA,case1,,0.000001,0.15,86,7,1,0.310830095,0.15
1,tomgro,ukf,0.5,gnvMod,cps,5,A,lai,lai_lat,NA,case1,,0.000001,0.96,87,7,1,0.613439194,0.96
1,tomgro,ukf,0.5,gnvMod,cps,6,A,lai,lai_lat,NA,case1,,0.000001,0.96,88,7,1,0.613439194,0.96
1,tomgro,ukf,0.5,gnvMod,cps,7,A,lai,lai_lat,NA,case1,,0.000001,1.3,89,7,1,0.43563716,1.3
1,tomgro,ukf,0.5,gnvMod,cps,8,A,lai,lai_lat,NA,case1,,0.000001,1.3,90,7,1,0.43563716,1.3
1,tomgro,ukf,0.5,gnvMod,cps,3,A,lai,lai_abv,NA,case1,,0.000001,0.15,91,8,0,0.988148935,0.15
