tmaxPg,37,cps2,
tmin_fr_gr,8.5,cps2,
TQe,23,cps2,
TSlop,20.6,cps2,
V,0.182,cps2,
V_max,8,cps2,
alpha_F,0.65,cps3,assim_p2
beta,0.676,cps3,
delta,0.051,cps3,
DFmax,0.02,cps3,
E,0.75,cps3,
K,0.8,cps3,
K_F,6,cps3,
m,0.1,cps3,
N_b,10.08,cps3,
N_FF,17,cps3,
N_max,0.565,cps3,
p_1,2,cps3,
Q10,1.4,cps3,
Qe,0.08,cps3,
rm,0.016,cps3,
sl_N1,0.025,cps3,
sl_N2,0.05,cps3,
sl_R,0.0032,cps3,
T_crit,22,cps3,
tau1,0.07428,cps3,
tau2,0.05848,cps3,
tmaxPg,37,cps3,
tmin_fr_gr,8.5,cps3,
TQe,23,cps3,
TSlop,20.6,cps3,
V,0.182,cps3,
V_max,8,cps3,
alpha_F,0.921923328,cps,case0
beta,0.5,cps,
delta,0.07,cps,
DFmax,0.032909115,cps,
E,0.75,cps,
K,0.58,cps,
K_F,7.999529728,cps,
m,0.1,cps,
N_b,15.50886144,cps,
N_FF,19.62082789,cps,
N_max,0.57159657,cps,
p_1,2,cps,
Q10,1.4,cps,
Qe,0.09,cps,
rm,0.016,cps,
sl_N1,0.025,cps,
sl_N2,0.05,cps,
sl_R,0.0032,cps,
T_crit,28.37534326,cps,
tau1,0.07428,cps,
tau2,0.05848,cps,
tmaxPg,35,cps,
tmin_fr_gr,8.5,cps,
TQe,23,cps,
TSlop,20.6,cps,
V,0.135,cps,
V_max,8,cps,
alpha_F,0.921923328,cps4,assim_p2
beta,0.5,cps4,
delta,0.07,cps4,
DFmax,0.032909115,cps4,
E,0.75,cps4,
K,0.58,cps4,
K_F,7.999529728,cps4,
m,0.1,cps4,
N_b,15.50886144,cps4,
N_FF,19.62082789,cps4,
N_max,0.57159657,cps4,
p_1,2,cps4,
Q10,1.4,cps4,
Qe,0.09,cps4,
rm,0.016,cps4,
sl_N1,0.025,cps4,
sl_N2,0.05,cps4,
sl_R,0.0032,cps4,
T_crit,28.37534326,cps4,
tau1,0.07428,cps4,
tau2,0.05848,cps4,
tmaxPg,35,cps4,
tmin_fr_gr,8.5,cps4,
TQe,23,cps4,
TSlop,20.6,cps4,
V,0.135,cps4,
V_max,8,cps4,
alpha_F,0.94999143,gnvopt,
beta,0.421133414,gnvopt,
delta,0.039035821,gnvopt,
DFmax,0.1,gnvopt,
E,0.75,gnvopt,
K,0.58,gnvopt,
K_F,7.948096156,gnvopt,
m,0.1,gnvopt,
N_b,17.88013116,gnvopt,
N_FF,24.34849754,gnvopt,
N_max,0.51464895,gnvopt,
p_1,2,gnvopt,
Q10,1.4,gnvopt,
Qe,0.06106519,gnvopt,
rm,0.016,gnvopt,
sl_N1,0.025,gnvopt,
sl_N2,0.05,gnvopt,
sl_R,0.0032,gnvopt,
T_crit,23.91473107,gnvopt,
tau1,0.07428,gnvopt,
tau2,0.05848,gnvopt,
tmaxPg,35,gnvopt,
tmin_fr_gr,8.5,gnvopt,
TQe,23,gnvopt,
TSlop,20.6,gnvopt,
V,0.135,gnvopt,
V_max,8,gnvopt,
alpha_F,0.921923328,cpsopt,
beta,0.5,cpsopt,
delta,0.07,cpsopt,
DFmax,0.032909115,cpsopt,
E,0.75,cpsopt,
K,0.58,cpsopt,
K_F,7.999529728,cpsopt,
m,0.1,cpsopt,
N_b,15.50886144,cpsopt,
N_FF,19.62082789,cpsopt,
N_max,0.57159657,cpsopt,
p_1,2,cpsopt,
Q10,1.4,cpsopt,
Qe,0.09,cpsopt,
rm,0.016,cpsopt,
sl_N1,0.025,cpsopt,
sl_N2,0.05,cpsopt,
sl_R,0.0032,cpsopt,
T_crit,28.37534326,cpsopt,
tau1,0.07428,cpsopt,
tau2,0.05848,cpsopt,
tmaxPg,35,cpsopt,
tmin_fr_gr,8.5,cpsopt,
TQe,23,cpsopt,
TSlop,20.6,cpsopt,
V,0.135,cpsopt,
V_max,8,cpsopt,
alpha_F,0.75,cpsman,
beta,0.45,cpsman,
delta,0.07,cpsman,
DFmax,0.05,cpsman,
E,0.75,cpsman,
K,0.58,cpsman,
K_F,7,cpsman,
m,0.1,cpsman,
N_b,18,cpsman,
N_FF,20,cpsman,
N_max,0.65,cpsman,
p_1,2,cpsman,
Q10,1.4,cpsman,
Qe,0.09,cpsman,
rm,0.016,cpsman,
sl_N1,0.025,cpsman,
sl_N2,0.05,cpsman,
sl_R,0.0032,cpsman,
T_crit,27,cpsman,
tau1,0.07428,cpsman,
tau2,0.05848,cpsman,
tmaxPg,35,cpsman,
tmin_fr_gr,8.5,cpsman,
TQe,23,cpsman,
TSlop,20.6,cpsman,
V,0.135,cpsman,
V_max,8,cpsman,
alpha_F,0.8,cpsIV_all,calibrado em todos os sensores
beta,0.5,cpsIV_all,
delta,0.07,cpsIV_all,
DFmax,0.027,cpsIV_all,
E,0.75,cpsIV_all,
K,0.58,cpsIV_all,
K_F,8,cpsIV_all,
m,0.1,cpsIV_all,
N_b,15.5,cpsIV_all,
N_FF,19,cpsIV_all,
N_max,0.55,cpsIV_all,
p_1,2,cpsIV_all,
Q10,1.4,cpsIV_all,
Qe,0.09,cpsIV_all,
rm,0.016,cpsIV_all,
sl_N1,0.025,cpsIV_all,
sl_N2,0.05,cpsIV_all,
sl_R,0.0032,cpsIV_all,
T_crit,28.8,cpsIV_all,
tau1,0.07428,cpsIV_all,
tau2,0.05848,cpsIV_all,
tmaxPg,35,cpsIV_all,
tmin_fr_gr,8.5,cpsIV_all,
TQe,23,cpsIV_all,
TSlop,20.6,cpsIV_all,
V,0.135,cpsIV_all,
V_max,8,cpsIV_all,
alpha_F,0.921923328,cpsIV,"igual cps4, o que muda é o input"
beta,0.5,cpsIV,
delta,0.07,cpsIV,
DFmax,0.032909115,cpsIV,
E,0.75,cpsIV,
K,0.58,cpsIV,
K_F,7.999529728,cpsIV,
m,0.1,cpsIV,
N_b,15.50886144,cpsIV,
N_FF,19.62082789,cpsIV,
N_max,0.57159657,cpsIV,
p_1,2,cpsIV,
Q10,1.4,cpsIV,
Qe,0.09,cpsIV,
rm,0.016,cpsIV,
sl_N1,0.025,cpsIV,
sl_N2,0.05,cpsIV,
sl_R,0.0032,cpsIV,
T_crit,28.37534326,cpsIV,
tau1,0.07428,cpsIV,
tau2,0.05848,cpsIV,
tmaxPg,35,cpsIV,
tmin_fr_gr,8.5,cpsIV,
TQe,23,cpsIV,
TSlop,20.6,cpsIV,
V,0.135,cpsIV,
V_max,8,cpsIV,
