n,4,cpA_n04
lai,0.014,cpA_n04
w,0.09,cpA_n04
wf,0,cpA_n04
wm,0,cpA_n04
n,4,cpA_n03
lai,0.014,cpA_n03
w,0.09,cpA_n03
wf,0,cpA_n03
wm,0,cpA_n03
n,4,pir_n02
lai,0.014,pir_n02
w,0.09,pir_n02
wf,0,pir_n02
wm,0,pir_n02
n,15,cpA_n01
lai,0.05,cpA_n01
w,8,cpA_n01
wf,0,cpA_n01
wm,0,cpA_n01
n,15,cpA_n02
lai,0.05,cpA_n02
w,8,cpA_n02
wf,0,cpA_n02
wm,0,cpA_n02
